symbol,baseCoin,granularity,profile,lookback_days,bars,trades,wins,losses,win_rate_pct,profit_factor,gross_profit_pct,gross_loss_pct,avg_trade_pct,avg_win_pct,avg_loss_pct,expectancy_pct,max_drawdown_pct,net_return_pct,quality_score,last_close,trend_state,last_signal,last_bar_utc
XAGUSDT,XAG,15m,Manual,30,2781,20,17,3,85.0,43.6492,40.1605,-0.9201,1.962,2.3624,-0.3067,1.962,-0.5225,46.8788,742.0364,83.28,SHORT,NONE,2026-03-13T11:45:00+00:00
BERAUSDT,BERA,15m,Manual,30,2781,20,18,2,90.0,35.4002,49.3901,-1.3952,2.3997,2.7439,-0.6976,2.3997,-1.0233,59.8508,637.2036,0.6037,LONG,NONE,2026-03-13T11:30:00+00:00
RLSUSDT,RLS,15m,Manual,30,2781,34,29,5,85.2941,33.5751,92.751,-2.7625,2.6467,3.1983,-0.5525,2.6467,-1.5986,140.9347,572.7516,0.004502,SHORT,NONE,2026-03-13T11:45:00+00:00
MEWUSDT,MEW,15m,Manual,30,2781,33,27,6,81.8182,30.2342,86.0277,-2.8454,2.5207,3.1862,-0.4742,2.5207,-1.8821,124.8779,494.7416,0.0006948,LONG,NONE,2026-03-13T11:30:00+00:00
PHBUSDT,PHB,15m,Manual,30,2781,40,32,8,80.0,26.2926,82.1089,-3.1229,1.9746,2.5659,-0.3904,1.9746,-1.6568,116.4774,420.6816,0.1362,SHORT,NONE,2026-03-13T11:45:00+00:00
VICUSDT,VIC,15m,Manual,30,2781,42,35,7,83.3333,23.0138,64.5992,-2.807,1.4712,1.8457,-0.401,1.4712,-1.7703,83.7659,383.5632,0.0473,SHORT,NONE,2026-03-13T11:45:00+00:00
TUTUSDT,TUT,15m,Manual,30,2781,50,38,12,76.0,24.6137,87.0911,-3.5383,1.6711,2.2919,-0.2949,1.6711,-1.0541,126.8976,374.1282,0.01125,SHORT,NONE,2026-03-13T11:45:00+00:00
2ZUSDT,2Z,15m,Manual,30,2781,42,37,5,88.0952,20.1276,87.2065,-4.3327,1.9732,2.3569,-0.8665,1.9732,-2.8609,125.1031,354.629,0.08207,LONG,NONE,2026-03-13T11:30:00+00:00
GPSUSDT,GPS,15m,Manual,30,2781,26,21,5,80.7692,21.9262,62.3139,-2.842,2.2874,2.9673,-0.5684,2.2874,-1.3505,78.4514,354.1923,0.00848,SHORT,NONE,2026-03-13T11:30:00+00:00
VANRYUSDT,VANRY,15m,Manual,30,2781,30,25,5,83.3333,21.2392,57.4495,-2.7049,1.8248,2.298,-0.541,1.8248,-1.7721,71.2394,353.9865,0.005081,SHORT,NONE,2026-03-13T11:45:00+00:00
MUBARAKUSDT,MUBARAK,15m,Manual,30,2781,35,29,6,82.8571,21.0398,104.6833,-4.9755,2.8488,3.6098,-0.8292,2.8488,-2.1004,162.4117,348.6594,0.01508,SHORT,NONE,2026-03-13T11:30:00+00:00
ANIMEUSDT,ANIME,15m,Manual,30,2781,31,28,3,90.3226,19.1274,49.7343,-2.6002,1.5205,1.7762,-0.8667,1.5205,-2.1442,59.0248,345.5273,0.004688,SHORT,NONE,2026-03-13T11:30:00+00:00
AXLUSDT,AXL,15m,Manual,30,2781,32,27,5,84.375,19.4734,55.7131,-2.861,1.6516,2.0634,-0.5722,1.6516,-2.0604,67.7321,328.6136,0.05603,SHORT,NONE,2026-03-13T11:30:00+00:00
UNIUSDT,UNI,15m,Manual,30,2781,25,21,4,84.0,19.0871,65.8081,-3.4478,2.4944,3.1337,-0.8619,2.4944,-2.0047,83.3073,320.6633,4.075,LONG,NONE,2026-03-13T11:45:00+00:00
CETUSUSDT,CETUS,15m,Manual,30,2781,31,26,5,83.871,18.5095,74.0049,-3.9982,2.2583,2.8463,-0.7996,2.2583,-2.144,98.0706,310.4821,0.01802,LONG,NONE,2026-03-13T11:30:00+00:00
ACXUSDT,ACX,15m,Manual,30,2781,42,33,9,78.5714,18.7975,56.408,-3.0008,1.2716,1.7093,-0.3334,1.2716,-1.8934,68.924,295.3892,0.04862,SHORT,NONE,2026-03-13T11:30:00+00:00
ONEUSDT,ONE,15m,Manual,30,2781,36,30,6,83.3333,16.98,84.8859,-4.9992,2.2191,2.8295,-0.8332,2.2191,-2.1316,118.276,282.9999,0.002462,LONG,NONE,2026-03-13T11:30:00+00:00
WLDUSDT,WLD,15m,Manual,30,2781,21,18,3,85.7143,13.971,58.5228,-4.1889,2.5873,3.2513,-1.3963,2.5873,-2.7682,69.7852,239.5029,0.3685,LONG,NONE,2026-03-13T11:45:00+00:00
XVSUSDT,XVS,15m,Manual,30,2781,29,24,5,82.7586,14.4427,46.4531,-3.2164,1.4909,1.9355,-0.6433,1.4909,-1.4153,52.896,239.0515,2.996,SHORT,NONE,2026-03-13T11:45:00+00:00
LUNAUSDT,LUNA,15m,Manual,30,2781,39,34,5,87.1795,13.5937,76.6594,-5.6393,1.821,2.2547,-1.1279,1.821,-1.9839,100.2045,237.0184,0.06434,LONG,NONE,2026-03-13T11:30:00+00:00
BOMEUSDT,BOME,15m,Manual,30,2781,32,25,7,78.125,14.8877,79.9603,-5.3709,2.3309,3.1984,-0.7673,2.3309,-2.3781,107.0823,232.6203,0.0004754,LONG,NONE,2026-03-13T11:30:00+00:00
CGPTUSDT,CGPT,15m,Manual,30,2781,36,29,7,80.5556,14.1299,76.4771,-5.4124,1.974,2.6371,-0.7732,1.974,-2.017,99.6015,227.6485,0.02217,LONG,NONE,2026-03-13T11:30:00+00:00
THETAUSDT,THETA,15m,Manual,30,2781,35,32,3,91.4286,12.0468,75.8217,-6.2939,1.9865,2.3694,-2.098,1.9865,-2.6655,97.4897,220.2844,0.1826,LONG,NONE,2026-03-13T11:45:00+00:00
PEOPLEUSDT,PEOPLE,15m,Manual,30,2781,35,29,6,82.8571,13.0876,74.4822,-5.6911,1.9655,2.5684,-0.9485,1.9655,-2.3984,95.6916,216.8801,0.00764,LONG,NONE,2026-03-13T11:45:00+00:00
ATAUSDT,ATA,15m,Manual,30,2781,27,22,5,81.4815,13.2183,43.7771,-3.3119,1.4987,1.9899,-0.6624,1.4987,-1.6706,48.8778,215.4094,0.01081,SHORT,NONE,2026-03-13T11:30:00+00:00
TSTBSCUSDT,TSTBSC,15m,Manual,30,2781,38,32,6,84.2105,12.6251,57.5416,-4.5577,1.3943,1.7982,-0.7596,1.3943,-2.0004,68.22,212.6332,0.01025,SHORT,NONE,2026-03-13T11:45:00+00:00
MEGAUSDT,MEGA,15m,Manual,30,2781,49,38,11,77.551,13.6477,53.7577,-3.939,1.0167,1.4147,-0.3581,1.0167,-1.1503,63.4628,211.6786,0.13615,SHORT,NONE,2026-03-13T11:30:00+00:00
GIGGLEUSDT,GIGGLE,15m,Manual,30,2781,31,25,5,80.6452,13.0042,78.8069,-6.0601,2.3467,3.1523,-1.212,2.3076,-2.0607,103.003,209.7453,29.13,LONG,NONE,2026-03-13T11:30:00+00:00
KMNOUSDT,KMNO,15m,Manual,30,2781,31,26,5,83.871,12.3142,73.4989,-5.9686,2.1784,2.8269,-1.1937,2.1784,-3.0968,92.6434,206.5609,0.02067,LONG,NONE,2026-03-13T11:30:00+00:00
PIUSDT,PI,15m,Manual,30,2781,29,24,5,82.7586,12.4231,69.6708,-5.6082,2.2091,2.903,-1.1216,2.2091,-3.3969,86.0944,205.6237,0.2717,SHORT,NONE,2026-03-13T11:45:00+00:00
VIRTUALUSDT,VIRTUAL,15m,Manual,30,2781,22,20,2,90.9091,11.2245,81.7268,-7.2811,3.3839,4.0863,-3.6406,3.3839,-3.8933,104.6215,204.0818,0.7639,LONG,NONE,2026-03-13T11:45:00+00:00
SQDUSDT,SQD,15m,Manual,30,2781,41,34,7,82.9268,12.2085,57.0661,-4.6743,1.2778,1.6784,-0.6678,1.2778,-1.3462,67.4815,202.4824,0.03744,LONG,NONE,2026-03-13T11:45:00+00:00
IRYSUSDT,IRYS,15m,Manual,30,2781,24,19,5,79.1667,12.5685,62.4059,-4.9652,2.3934,3.2845,-0.993,2.3934,-3.0576,74.0563,199.0013,0.01775,SHORT,NONE,2026-03-13T11:30:00+00:00
RONUSDT,RON,15m,Manual,30,2781,41,32,9,78.0488,12.7271,64.3381,-5.0552,1.4459,2.0106,-0.5617,1.4459,-1.6274,78.5855,198.667,0.1034,SHORT,NONE,2026-03-13T11:45:00+00:00
ILVUSDT,ILV,15m,Manual,30,2781,44,35,9,79.5455,12.4269,80.9851,-6.5169,1.6925,2.3139,-0.7241,1.6925,-2.0788,107.2736,197.7008,4.187,SHORT,NONE,2026-03-13T11:30:00+00:00
1000CATUSDT,1000CAT,15m,Manual,30,2781,32,23,8,71.875,12.9398,54.7618,-4.232,1.5791,2.3809,-0.529,1.5625,-3.0867,64.1538,186.0096,0.00185,LONG,LONG,2026-03-13T11:30:00+00:00
MAGICUSDT,MAGIC,15m,Manual,30,2781,39,29,10,74.359,12.3603,61.5723,-4.9815,1.451,2.1232,-0.4981,1.451,-1.5225,74.1811,183.8199,0.06548,LONG,NONE,2026-03-13T11:30:00+00:00
ICXUSDT,ICX,15m,Manual,30,2781,41,29,12,70.7317,12.9681,69.1641,-5.3334,1.5568,2.385,-0.4445,1.5568,-1.6279,86.7843,183.4512,0.03716,LONG,NONE,2026-03-13T11:30:00+00:00
USUALUSDT,USUAL,15m,Manual,30,2781,36,30,6,83.3333,10.9315,91.6832,-8.387,2.3138,3.0561,-1.3978,2.3138,-3.514,124.8721,182.1916,0.01495,LONG,NONE,2026-03-13T11:45:00+00:00
TNSRUSDT,TNSR,15m,Manual,30,2781,34,26,8,76.4706,11.7532,74.5304,-6.3413,2.0056,2.8666,-0.7927,2.0056,-3.0721,94.2244,179.7549,0.04688,SHORT,NONE,2026-03-13T11:45:00+00:00
MAVUSDT,MAV,15m,Manual,30,2781,47,38,9,80.8511,11.1139,74.6182,-6.714,1.4448,1.9636,-0.746,1.4448,-1.5372,94.7095,179.7142,0.01468,LONG,NONE,2026-03-13T11:30:00+00:00
